Date,Open,High,Low,Close,Adj Close,Volume
8/1/2018,115.75,116.690002,115.279999,115.660004,109.52961,13531600
8/2/2018,114.57,116.25,114.330002,116.150002,109.993637,11058100
8/3/2018,116,117.129997,115.940002,117.089996,110.88382,11016100
8/6/2018,116.790001,117.529999,116.18,117.120003,110.912239,9857400
8/7/2018,117.739998,118.290001,117.330002,117.550003,111.319435,10562100
8/8/2018,117.330002,118.269997,117.279999,117.790001,111.54673,8997100
8/9/2018,117.510002,117.720001,116.699997,116.879997,110.684937,9694200
8/10/2018,115.5,115.949997,114.68,115.730003,109.595909,12630600
8/13/2018,115.559998,115.879997,113.82,113.889999,107.853424,10336300
8/14/2018,114.269997,115.040001,113.650002,114.650002,108.573158,10597600
8/15/2018,113.82,114.330002,112.970001,113.699997,107.6735,10152100
8/16/2018,114.349998,115.309998,114.300003,114.769997,108.686783,10118600
8/17/2018,114.639999,115.07,114.300003,114.769997,108.686783,8505100
8/20/2018,114.589996,115.050003,114.110001,114.620003,108.544739,8618700
8/21/2018,115.370003,116.389999,114.879997,115.32,109.207634,10976700
8/22/2018,115.309998,115.410004,114.779999,114.970001,108.87619,8314700
8/23/2018,114.959999,115.150002,114.43,114.730003,108.648903,9265400
8/24/2018,114.980003,115.220001,114.449997,114.68,108.601555,8845700
8/27/2018,115.220001,117.279999,115.169998,116.709999,110.523949,13768000
8/28/2018,117,117.029999,115.970001,116.139999,109.984169,8302600
8/29/2018,116.349998,116.370003,115.360001,115.760002,109.624313,7221700
8/30/2018,115.589996,116.040001,114.980003,115.190002,109.084526,8991800
8/31/2018,114.830002,114.839996,113.82,114.580002,108.506859,13065700
9/4/2018,114.339996,115.239998,113.629997,115.150002,109.046646,10174200
9/5/2018,115,115.699997,114.25,114.589996,108.516327,11462400
9/6/2018,114.5,114.699997,113.5,114.099998,108.052307,9877600
9/7/2018,114.5,114.769997,113.629997,114.32,108.260643,10955600
9/10/2018,114.849998,114.970001,113.660004,113.709999,107.682968,8276900
9/11/2018,113.540001,114.580002,113.18,114.43,108.364815,9333800
9/12/2018,114.25,114.879997,112.849998,113.080002,107.086372,10800800
9/13/2018,113.370003,114.129997,112.669998,113.519997,107.503036,12470800
